TABLA;PTS;PG;PE;PP;GF;GC;GD
Australia;9;3;0;0;12;4;8
United States;4;1;1;1;4;3;1
Paraguay;3;1;0;2;3;8;-5
Turkey;1;0;1;2;4;8;-4

LOG TECNICO (LAMBDA);VISITA;LAM_L;LAM_V;G_L;G_V
United States;Paraguay;1.45317;1.22695;3;1
United States;Australia;1.51572;1.7428;1;2
United States;Turkey;1.43688;1.46651;0;0
Paraguay;Australia;1.17049;1.59398;0;4
Paraguay;Turkey;1.10961;1.34128;2;1
Australia;Turkey;1.57612;1.39902;6;3
