Ranking;Pais;DT;Fed;Conf;GF;GC;PG;PE;PP
16;United States;Mauricio Pochettino;U.S. Soccer Federation;Concacaf;16;9;5;1;2
31;Paraguay;Gustavo Alfaro;Paraguayan Football Association;CONMEBOL;13;9;6;3;1
25;Australia;Tony Popovic;Football Australia;AFC;14;6;4;1;1
26;Turkey;Vincenzo Montella;Turkish Football Federation;UEFA;14;7;5;1;2
