Ranking;Pais;DT;Fed;Conf;GF;GC;PG;PE;PP
6;Brazil;Dorival Junior;Brazilian Football Confederation;CONMEBOL;20;7;6;3;1
11;Morocco;Walid Regragui;Royal Moroccan Football Federation;CAF;17;2;5;1;0
57;Haiti;Sebastien Migne;Haitian Football Federation;Concacaf;10;9;3;2;3
46;Scotland;Steve Clarke;Scottish Football Association;UEFA;11;8;4;1;3
