TABLA;PTS;PG;PE;PP;GF;GC;GD
Tunisia;9;3;0;0;3;0;3
Japan;4;1;1;1;4;3;1
Sweden;2;0;2;1;2;3;-1
Netherlands;1;0;1;2;0;3;-3

LOG TECNICO (LAMBDA);VISITA;LAM_L;LAM_V;G_L;G_V
Netherlands;Japan;1.11665;1.90365;0;2
Netherlands;Sweden;1.64273;1.15924;0;0
Netherlands;Tunisia;0;1.05683;0;1
Japan;Sweden;2.17791;0.901518;2;2
Japan;Tunisia;0;0.821876;0;1
Sweden;Tunisia;0;1.20909;0;1
