TABLA;PTS;PG;PE;PP;GF;GC;GD
Austria;7;2;1;0;11;4;7
Italy;6;2;0;1;7;6;1
Argentina;4;1;1;1;3;5;-2
Jordan;0;0;0;3;1;7;-6

LOG TECNICO (LAMBDA);VISITA;LAM_L;LAM_V;G_L;G_V
Argentina;Italy;1.47006;1.58489;0;3
Argentina;Austria;1.58128;1.38629;2;2
Argentina;Jordan;1.88696;1.64747;1;0
Italy;Austria;1.5445;1.25594;2;5
Italy;Jordan;1.84307;1.49256;2;1
Austria;Jordan;1.61212;1.60548;4;0
