Ranking;Pais;DT;Fed;Conf;GF;GC;PG;PE;PP
7;Netherlands;Ronald Koeman;Royal Dutch Football Association;UEFA;20;5;7;1;0
17;Japan;Hajime Moriyasu;Japan Football Association;AFC;24;2;6;0;0
28;Sweden;Jon Dahl Tomasson;Swedish Football Association;UEFA;14;7;5;1;2
37;Tunisia;Sabri Lamouchi;Tunisian Football Federation;CAF;9;0;4;2;0
