Ranking;Pais;DT;Fed;Conf;GF;GC;PG;PE;PP
4;England;Thomas Tuchel;The Football Association;UEFA;20;5;7;1;0
14;Croatia;Zlatko Dalic;Croatian Football Federation;UEFA;19;5;6;1;1
55;Ghana;Otto Addo;Ghana Football Association;CAF;14;7;5;0;1
32;Panama;Thomas Christiansen;Panamanian Football Federation;Concacaf;11;9;4;2;2
