Ranking;Pais;DT;Fed;Conf;GF;GC;PG;PE;PP
2;Spain;Luis de la Fuente;Royal Spanish Football Federation;UEFA;20;5;7;1;0
59;Cabo Verde;Bubista;Cape Verdean Football Federation;CAF;10;1;5;1;0
51;Saudi Arabia;Herve Renard;Saudi Arabian Football Federation;AFC;7;6;3;1;2
12;Uruguay;Marcelo Bielsa;Uruguayan Football Association;CONMEBOL;17;7;6;3;1
