TABLA;PTS;PG;PE;PP;GF;GC;GD
Morocco;9;3;0;0;6;1;5
Brazil;3;1;0;2;2;3;-1
Haiti;3;1;0;2;2;4;-2
Scotland;3;1;0;2;3;5;-2

LOG TECNICO (LAMBDA);VISITA;LAM_L;LAM_V;G_L;G_V
Brazil;Morocco;0.976719;1.61964;0;2
Brazil;Haiti;1.58884;0.991255;0;1
Brazil;Scotland;1.51572;1.04959;2;0
Morocco;Haiti;1.95812;0.736712;2;0
Morocco;Scotland;1.86801;0.780069;2;1
Haiti;Scotland;1.14326;1.26894;1;2
