TABLA;PTS;PG;PE;PP;GF;GC;GD
Cameroon;9;3;0;0;6;1;5
Senegal;6;2;0;1;4;3;1
Iraq;1;0;1;2;1;3;-2
France;1;0;1;2;2;6;-4

LOG TECNICO (LAMBDA);VISITA;LAM_L;LAM_V;G_L;G_V
France;Senegal;1.11665;1.19206;2;3
France;Iraq;1.84307;0.908908;0;0
France;Cameroon;1.47342;1.49256;0;3
Senegal;Iraq;1.53011;0.706837;1;0
Senegal;Cameroon;1.22323;1.16073;0;1
Iraq;Cameroon;0.932678;1.91584;1;2
