Ranking;Pais;DT;Fed;Conf;GF;GC;PG;PE;PP
3;Argentina;Lionel Scaloni;Argentina Football Association;CONMEBOL;26;8;8;1;1
10;Italy;Luciano Spalletti;Italian Football Federation;UEFA;20;5;7;1;0
22;Austria;Ralf Rangnick;Austrian Football Association;UEFA;16;6;5;1;2
54;Jordan;Jamal Sellami;Jordan Football Association;AFC;16;7;4;1;1
