Ranking;Pais;DT;Fed;Conf;GF;GC;PG;PE;PP
1;France;Didier Deschamps;French Football Federation;UEFA;20;5;7;1;0
19;Senegal;Pape Thiaw;Senegalese Football Federation;CAF;11;2;5;1;0
53;Iraq;Jesus Casas;Iraq Football Association;AFC;7;7;2;1;3
45;Cameroon;Marc Brys;Cameroonian Football Federation;CAF;16;4;4;0;2
