TABLA;PTS;PG;PE;PP;GF;GC;GD
Korea Republic;7;2;1;0;6;1;5
Czech Republic;4;1;1;1;3;6;-3
South Africa;3;0;3;0;2;2;0
Mexico;1;0;1;2;1;3;-2

LOG TECNICO (LAMBDA);VISITA;LAM_L;LAM_V;G_L;G_V
Mexico;South Africa;1.35559;1.35866;0;0
Mexico;Korea Republic;1.55088;1.66259;0;1
Mexico;Czech Republic;1.45815;1.21055;1;2
South Africa;Korea Republic;1.44507;1.54566;1;1
South Africa;Czech Republic;1.35866;1.12541;1;1
Korea Republic;Czech Republic;1.66259;1.28754;4;0
