Ranking;Pais;DT;Fed;Conf;GF;GC;PG;PE;PP
5;Portugal;Roberto Martinez;Portuguese Football Federation;UEFA;20;5;7;1;0
56;DR Congo;Sebastien Desabre;Congolese Association Football Federation;CAF;9;6;4;2;2
47;Uzbekistan;Timur Kapadze;Uzbekistan Football Association;AFC;11;7;3;3;0
13;Colombia;Nestor Lorenzo;Colombian Football Federation;CONMEBOL;16;4;5;5;0
