Ranking;Pais;DT;Fed;Conf;GF;GC;PG;PE;PP
8;Belgium;Rudi Garcia;Royal Belgian Football Association;UEFA;20;5;7;1;0
29;Egypt;Hossam Hassan;Egyptian Football Association;CAF;18;2;5;1;0
18;Iran;Amir Ghalenoei;Football Federation Islamic Republic of Iran;AFC;16;8;4;2;0
58;New Zealand;Darren Bazeley;New Zealand Football;OFC;7;1;2;0;0
