TABLA;PTS;PG;PE;PP;GF;GC;GD
Cabo Verde;7;2;1;0;6;1;5
Saudi Arabia;5;1;2;0;2;0;2
Uruguay;3;1;0;2;3;7;-4
Spain;1;0;1;2;1;4;-3

LOG TECNICO (LAMBDA);VISITA;LAM_L;LAM_V;G_L;G_V
Spain;Cabo Verde;0.846259;1.1258;0;2
Spain;Saudi Arabia;1.73286;0.908908;0;0
Spain;Uruguay;1.50246;1.13926;1;2
Cabo Verde;Saudi Arabia;1.35866;0.535683;0;0
Cabo Verde;Uruguay;1.17801;0.671443;4;1
Saudi Arabia;Uruguay;0.951059;1.37489;2;0
