Ranking;Pais;DT;Fed;Conf;GF;GC;PG;PE;PP
30;Canada;Jesse Marsch;Canada Soccer;Concacaf;14;9;4;2;2
52;Bosnia and Herzegovina;Sergej Barbarez;Football Association of Bosnia and Herzegovina;UEFA;11;8;4;1;3
43;Qatar;Julen Lopetegui;Qatar Football Association;AFC;17;8;4;1;1
20;Denmark;Brian Riemer;Danish Football Association;UEFA;17;6;6;1;1
