Ranking;Pais;DT;Fed;Conf;GF;GC;PG;PE;PP
15;Mexico;Javier Aguirre;Mexican Football Federation;Concacaf;15;8;4;3;1
50;South Africa;Hugo Broos;South African Football Association;CAF;10;5;4;2;0
23;Korea Republic;Hong Myung-bo;Korea Football Association;AFC;14;7;4;2;0
41;Czech Republic;Ivan Hasek;Football Association of the Czech Republic;UEFA;11;8;4;1;3
