Ranking;Pais;DT;Fed;Conf;GF;GC;PG;PE;PP
9;Germany;Julian Nagelsmann;German Football Association;UEFA;20;5;7;1;0
27;Serbia;Dragan Stojkovic;Football Association of Serbia;UEFA;14;7;5;1;2
34;Nigeria;Eric Chelle;Nigeria Football Federation;CAF;10;6;4;2;2
36;Costa Rica;Miguel Herrera;Costa Rican Football Federation;Concacaf;10;9;3;2;3
