Tiempo,ID,PosX,PosY,Masa,Activa
0.36,4,84.96,86.04,2.5,1
0.37,1,15.55,14.44,2,1
0.37,2,85.56,15.18,3,1
0.37,3,14.07,84.45,1.5,1
0.37,4,84.82,85.93,2.5,1
0.38,1,15.7,14.56,2,1
0.38,2,85.44,15.32,3,1
0.38,3,14.18,84.3,1.5,1
0.38,4,84.68,85.82,2.5,1
0.39,1,15.85,14.68,2,1
0.39,2,85.32,15.46,3,1
0.39,3,14.29,84.15,1.5,1
0.39,4,84.54,85.71,2.5,1
0.4,1,16,14.8,2,1
0.4,2,85.2,15.6,3,1
0.4,3,14.4,84,1.5,1
0.4,4,84.4,85.6,2.5,1
0.41,1,16.15,14.92,2,1
0.41,2,85.08,15.74,3,1
0.41,3,14.51,83.85,1.5,1
0.41,4,84.26,85.49,2.5,1
0.42,1,16.3,15.04,2,1
0.42,2,84.96,15.88,3,1
0.42,3,14.62,83.7,1.5,1
0.42,4,84.12,85.38,2.5,1
0.43,1,16.45,15.16,2,1
0.43,2,84.84,16.02,3,1
0.43,3,14.73,83.55,1.5,1
0.43,4,83.98,85.27,2.5,1
0.44,1,16.6,15.28,2,1
0.44,2,84.72,16.16,3,1
0.44,3,14.84,83.4,1.5,1
0.44,4,83.84,85.16,2.5,1
0.45,1,16.75,15.4,2,1
0.45,2,84.6,16.3,3,1
0.45,3,14.95,83.25,1.5,1
0.45,4,83.7,85.05,2.5,1
0.46,1,16.9,15.52,2,1
0.46,2,84.48,16.44,3,1
0.46,3,15.06,83.1,1.5,1
0.46,4,83.56,84.94,2.5,1
0.47,1,17.05,15.64,2,1
0.47,2,84.36,16.58,3,1
0.47,3,15.17,82.95,1.5,1
0.47,4,83.42,84.83,2.5,1
0.48,1,17.2,15.76,2,1
0.48,2,84.24,16.72,3,1
0.48,3,15.28,82.8,1.5,1
0.48,4,83.28,84.72,2.5,1
0.49,1,17.35,15.88,2,1
0.49,2,84.12,16.86,3,1
0.49,3,15.39,82.65,1.5,1
0.49,4,83.14,84.61,2.5,1
0.5,1,17.5,16,2,1
0.5,2,84,17,3,1
0.5,3,15.5,82.5,1.5,1
0.5,4,83,84.5,2.5,1
0.51,1,17.65,16.12,2,1
0.51,2,83.88,17.14,3,1
0.51,3,15.61,82.35,1.5,1
0.51,4,82.86,84.39,2.5,1
0.52,1,17.8,16.24,2,1
0.52,2,83.76,17.28,3,1
0.52,3,15.72,82.2,1.5,1
0.52,4,82.72,84.28,2.5,1
0.53,1,17.95,16.36,2,1
0.53,2,83.64,17.42,3,1
0.53,3,15.83,82.05,1.5,1
0.53,4,82.58,84.17,2.5,1
0.54,1,18.1,16.48,2,1
0.54,2,83.52,17.56,3,1
0.54,3,15.94,81.9,1.5,1
0.54,4,82.44,84.06,2.5,1
0.55,1,18.25,16.6,2,1
0.55,2,83.4,17.7,3,1
0.55,3,16.05,81.75,1.5,1
0.55,4,82.3,83.95,2.5,1
0.56,1,18.4,16.72,2,1
0.56,2,83.28,17.84,3,1
0.56,3,16.16,81.6,1.5,1
0.56,4,82.16,83.84,2.5,1
0.57,1,18.55,16.84,2,1
0.57,2,83.16,17.98,3,1
0.57,3,16.27,81.45,1.5,1
0.57,4,82.02,83.73,2.5,1
0.58,1,18.7,16.96,2,1
0.58,2,83.04,18.12,3,1
0.58,3,16.38,81.3,1.5,1
0.58,4,81.88,83.62,2.5,1
0.59,1,18.85,17.08,2,1
0.59,2,82.92,18.26,3,1
0.59,3,16.49,81.15,1.5,1
0.59,4,81.74,83.51,2.5,1
0.6,1,19,17.2,2,1
0.6,2,82.8,18.4,3,1
0.6,3,16.6,81,1.5,1
0.6,4,81.6,83.4,2.5,1
0.61,1,19.15,17.32,2,1
0.61,2,82.68,18.54,3,1
0.61,3,16.71,80.85,1.5,1
0.61,4,81.46,83.29,2.5,1
0.62,1,19.3,17.44,2,1
0.62,2,82.56,18.68,3,1
0.62,3,16.82,80.7,1.5,1
0.62,4,81.32,83.18,2.5,1
0.63,1,19.45,17.56,2,1
0.63,2,82.44,18.82,3,1
0.63,3,16.93,80.55,1.5,1
0.63,4,81.18,83.07,2.5,1
0.64,1,19.6,17.68,2,1
0.64,2,82.32,18.96,3,1
0.64,3,17.04,80.4,1.5,1
0.64,4,81.04,82.96,2.5,1
0.65,1,19.75,17.8,2,1
0.65,2,82.2,19.1,3,1
0.65,3,17.15,80.25,1.5,1
0.65,4,80.9,82.85,2.5,1
0.66,1,19.9,17.92,2,1
0.66,2,82.08,19.24,3,1
0.66,3,17.26,80.1,1.5,1
0.66,4,80.76,82.74,2.5,1
0.67,1,20.05,18.04,2,1
0.67,2,81.96,19.38,3,1
0.67,3,17.37,79.95,1.5,1
0.67,4,80.62,82.63,2.5,1
0.68,1,20.2,18.16,2,1
0.68,2,81.84,19.52,3,1
0.68,3,17.48,79.8,1.5,1
0.68,4,80.48,82.52,2.5,1
0.69,1,20.35,18.28,2,1
0.69,2,81.72,19.66,3,1
0.69,3,17.59,79.65,1.5,1
0.69,4,80.34,82.41,2.5,1
0.7,1,20.5,18.4,2,1
0.7,2,81.6,19.8,3,1
0.7,3,17.7,79.5,1.5,1
0.7,4,80.2,82.3,2.5,1
0.71,1,20.65,18.52,2,1
0.71,2,81.48,19.94,3,1
0.71,3,17.81,79.35,1.5,1
0.71,4,80.06,82.19,2.5,1
0.72,1,20.8,18.64,2,1
0.72,2,81.36,20.08,3,1
0.72,3,17.92,79.2,1.5,1
0.72,4,79.92,82.08,2.5,1
0.73,1,20.95,18.76,2,1
0.73,2,81.24,20.22,3,1
0.73,3,18.03,79.05,1.5,1
0.73,4,79.78,81.97,2.5,1
0.74,1,21.1,18.88,2,1
0.74,2,81.12,20.36,3,1
0.74,3,18.14,78.9,1.5,1
0.74,4,79.64,81.86,2.5,1
0.75,1,21.25,19,2,1
0.75,2,81,20.5,3,1
