Tiempo,ID,PosX,PosY,Masa,Activa
1.8,4,64.8,83.4925,2.5,1
1.81,1,37.15,15.66,2,1
1.81,2,88.6832,30.0174,3,1
1.81,3,17.885,62.85,1.5,1
1.81,4,64.66,83.575,2.5,1
1.82,1,37.3,15.57,2,1
1.82,2,88.8197,30.0905,3,1
1.82,3,17.8025,62.7,1.5,1
1.82,4,64.52,83.6575,2.5,1
1.83,1,37.45,15.48,2,1
1.83,2,88.9561,30.1636,3,1
1.83,3,17.72,62.55,1.5,1
1.83,4,64.38,83.74,2.5,1
1.84,1,37.6,15.39,2,1
1.84,2,89.0926,30.2367,3,1
1.84,3,17.6375,62.4,1.5,1
1.84,4,64.24,83.8225,2.5,1
1.85,1,37.75,15.3,2,1
1.85,2,89.229,30.3098,3,1
1.85,3,17.555,62.25,1.5,1
1.85,4,64.1,83.905,2.5,1
1.86,1,37.9,15.21,2,1
1.86,2,89.3655,30.3829,3,1
1.86,3,17.4725,62.1,1.5,1
1.86,4,63.96,83.9875,2.5,1
1.87,1,38.05,15.12,2,1
1.87,2,89.502,30.456,3,1
1.87,3,17.39,61.95,1.5,1
1.87,4,63.82,84.07,2.5,1
1.88,1,38.2,15.03,2,1
1.88,2,89.6384,30.5291,3,1
1.88,3,17.3075,61.8,1.5,1
1.88,4,63.68,84.1525,2.5,1
1.89,1,38.35,14.94,2,1
1.89,2,89.7749,30.6022,3,1
1.89,3,17.225,61.65,1.5,1
1.89,4,63.54,84.235,2.5,1
1.9,1,38.5,14.85,2,1
1.9,2,89.9113,30.6753,3,1
1.9,3,17.1425,61.5,1.5,1
1.9,4,63.4,84.3175,2.5,1
1.91,1,38.65,14.76,2,1
1.91,2,90.0478,30.7484,3,1
1.91,3,17.06,61.35,1.5,1
1.91,4,63.26,84.4,2.5,1
1.92,1,38.8,14.67,2,1
1.92,2,90.1843,30.8215,3,1
1.92,3,16.9775,61.2,1.5,1
1.92,4,63.12,84.4825,2.5,1
1.93,1,38.95,14.58,2,1
1.93,2,90.3207,30.8946,3,1
1.93,3,16.895,61.05,1.5,1
1.93,4,62.98,84.565,2.5,1
1.94,1,39.1,14.49,2,1
1.94,2,90.4572,30.9677,3,1
1.94,3,16.8125,60.9,1.5,1
1.94,4,62.84,84.6475,2.5,1
1.95,1,39.25,14.4,2,1
1.95,2,90.5936,31.0408,3,1
1.95,3,16.73,60.75,1.5,1
1.95,4,62.7,84.73,2.5,1
1.96,1,39.4,14.31,2,1
1.96,2,90.7301,31.1139,3,1
1.96,3,16.6475,60.6,1.5,1
1.96,4,62.56,84.8125,2.5,1
1.97,1,39.55,14.22,2,1
1.97,2,90.8666,31.187,3,1
1.97,3,16.565,60.45,1.5,1
1.97,4,62.42,84.895,2.5,1
1.98,1,39.7,14.13,2,1
1.98,2,91.003,31.2601,3,1
1.98,3,16.4825,60.3,1.5,1
1.98,4,62.28,84.9775,2.5,1
1.99,1,39.85,14.04,2,1
1.99,2,91.1395,31.3332,3,1
1.99,3,16.4,60.15,1.5,1
1.99,4,62.14,85.06,2.5,1
2,1,40,13.95,2,1
2,2,91.2759,31.4063,3,1
2,3,16.3175,60,1.5,1
2,4,62,85.1425,2.5,1
2.01,1,40.15,13.86,2,1
2.01,2,91.4124,31.4794,3,1
2.01,3,16.235,59.85,1.5,1
2.01,4,61.86,85.225,2.5,1
2.02,1,40.3,13.77,2,1
2.02,2,91.5489,31.5525,3,1
2.02,3,16.1525,59.7,1.5,1
2.02,4,61.72,85.3075,2.5,1
2.03,1,40.45,13.68,2,1
2.03,2,91.6853,31.6256,3,1
2.03,3,16.07,59.55,1.5,1
2.03,4,61.58,85.39,2.5,1
2.04,1,40.6,13.59,2,1
2.04,2,91.8218,31.6987,3,1
2.04,3,15.9875,59.4,1.5,1
2.04,4,61.44,85.4725,2.5,1
2.05,1,40.75,13.5,2,1
2.05,2,91.9583,31.7718,3,1
2.05,3,15.905,59.25,1.5,1
2.05,4,61.3,85.555,2.5,1
2.06,1,40.9,13.41,2,1
2.06,2,92.0947,31.8449,3,1
2.06,3,15.8225,59.1,1.5,1
2.06,4,61.16,85.6375,2.5,1
2.07,1,41.05,13.32,2,1
2.07,2,92.2312,31.918,3,1
2.07,3,15.74,58.95,1.5,1
2.07,4,61.02,85.72,2.5,1
2.08,1,41.2,13.23,2,1
2.08,2,92.3676,31.9911,3,1
2.08,3,15.6575,58.8,1.5,1
2.08,4,60.88,85.8025,2.5,1
2.09,1,41.35,13.14,2,1
2.09,2,92.5041,32.0642,3,1
2.09,3,15.575,58.65,1.5,1
2.09,4,60.74,85.885,2.5,1
2.1,1,41.5,13.05,2,1
2.1,2,92.6406,32.1372,3,1
2.1,3,15.4925,58.5,1.5,1
2.1,4,60.6,85.9675,2.5,1
2.11,1,41.65,12.96,2,1
2.11,2,92.777,32.2103,3,1
2.11,3,15.41,58.35,1.5,1
2.11,4,60.46,86.05,2.5,1
2.12,1,41.8,12.87,2,1
2.12,2,92.9135,32.2834,3,1
2.12,3,15.3275,58.2,1.5,1
2.12,4,60.32,86.1325,2.5,1
2.13,1,41.95,12.78,2,1
2.13,2,93.0499,32.3565,3,1
2.13,3,15.245,58.05,1.5,1
2.13,4,60.18,86.215,2.5,1
2.14,1,42.1,12.69,2,1
2.14,2,93.1864,32.4296,3,1
2.14,3,15.1625,57.9,1.5,1
2.14,4,60.04,86.2975,2.5,1
2.15,1,42.25,12.6,2,1
2.15,2,93.3229,32.5027,3,1
2.15,3,15.08,57.75,1.5,1
2.15,4,59.9,86.38,2.5,1
2.16,1,42.4,12.51,2,1
2.16,2,93.4593,32.5758,3,1
2.16,3,14.9975,57.6,1.5,1
2.16,4,59.76,86.4625,2.5,1
2.17,1,42.55,12.42,2,1
2.17,2,93.5958,32.6489,3,1
2.17,3,14.915,57.45,1.5,1
2.17,4,59.62,86.545,2.5,1
2.18,1,42.7,12.33,2,1
2.18,2,93.7322,32.722,3,1
2.18,3,14.8325,57.3,1.5,1
2.18,4,59.48,86.6275,2.5,1
2.19,1,42.85,12.24,2,1
2.19,2,93.8687,32.7951,3,1
2.19,3,14.75,57.15,1.5,1
2.19,4,59.34,86.71,2.5,1
2.2,1,43,12.15,2,1
2.2,2,94.0052,32.8682,3,1
2.2,3,14.6675,57,1.5,1
2.2,4,59.2,86.7925,2.5,1
2.21,1,43.15,12.06,2,1
2.21,2,94.1416,32.9413,3,1
2.21,3,14.585,56.85,1.5,1
2.21,4,59.06,86.875,2.5,1
2.22,1,43.3,11.97,2,1
2.22,2,94.2781,33.0144,3,1
2.22,3,14.5025,56.7,1.5,1
2.22,4,58.92,86.9575,2.5,1
2.23,1,43.45,11.88,2,1
2.23,2,94.4145,33.0875,3,1
2.23,3,14.42,56.55,1.5,1
2.23,4,58.78,87.04,2.5,1
2.24,1,43.6,11.79,2,1
2.24,2,94.551,33.1606,3,1
2.24,3,14.3375,56.4,1.5,1
2.24,4,58.64,87.1225,2.5,1
2.25,1,43.75,11.7,2,1
2.25,2,94.6875,33.2337,3,1
2.25,3,14.255,56.25,1.5,1
2.25,4,58.5,87.205,2.5,1
2.26,1,43.9,11.61,2,1
2.26,2,94.8239,33.3068,3,1
2.26,3,14.1725,56.1,1.5,1
2.26,4,58.36,87.2875,2.5,1
2.27,1,44.05,11.52,2,1
2.27,2,94.9604,33.3799,3,1
2.27,3,14.09,55.95,1.5,1
2.27,4,58.22,87.37,2.5,1
2.28,1,44.2,11.43,2,1
2.28,2,95.0968,33.453,3,1
2.28,3,14.0075,55.8,1.5,1
2.28,4,58.08,87.4525,2.5,1
2.29,1,44.35,11.34,2,1
2.29,2,95.2333,33.5261,3,1
2.29,3,13.925,55.65,1.5,1
2.29,4,57.94,87.535,2.5,1
2.3,1,44.5,11.25,2,1
2.3,2,95.3698,33.5992,3,1
2.3,3,13.8425,55.5,1.5,1
2.3,4,57.8,87.6175,2.5,1
2.31,1,44.65,11.16,2,1
2.31,2,95.5062,33.6723,3,1
2.31,3,13.76,55.35,1.5,1
2.31,4,57.66,87.7,2.5,1
2.32,1,44.8,11.07,2,1
2.32,2,95.6427,33.7454,3,1
2.32,3,13.6775,55.2,1.5,1
2.32,4,57.52,87.7825,2.5,1
2.33,1,44.95,10.98,2,1
2.33,2,95.7791,33.8185,3,1
2.33,3,13.595,55.05,1.5,1
2.33,4,57.38,87.865,2.5,1
2.34,1,45.1,10.89,2,1
2.34,2,95.9156,33.8916,3,1
2.34,3,13.5125,54.9,1.5,1
2.34,4,57.24,87.9475,2.5,1
2.35,1,45.25,10.8,2,1
2.35,2,96.0521,33.9647,3,1
2.35,3,13.43,54.75,1.5,1
2.35,4,57.1,88.03,2.5,1
2.36,1,45.4,10.71,2,1
2.36,2,96.1885,34.0378,3,1
2.36,3,13.3475,54.6,1.5,1
2.36,4,56.96,88.1125,2.5,1
2.37,1,45.55,10.62,2,1
2.37,2,96.325,34.1109,3,1
2.37,3,13.265,54.45,1.5,1
2.37,4,56.82,88.195,2.5,1
2.38,1,45.7,10.53,2,1
2.38,2,96.4614,34.184,3,1
2.38,3,13.1825,54.3,1.5,1
2.38,4,56.68,88.2775,2.5,1
2.39,1,45.85,10.44,2,1
2.39,2,96.5979,34.2571,3,1
2.39,3,13.1,54.15,1.5,1
2.39,4,56.54,88.36,2.5,1
2.4,1,46,10.35,2,1
2.4,2,96.7344,34.3302,3,1
2.4,3,13.0175,54,1.5,1
2.4,4,56.4,88.4425,2.5,1
2.41,1,46.15,10.26,2,1
2.41,2,96.8708,34.4033,3,1
2.41,3,12.935,53.85,1.5,1
2.41,4,56.26,88.525,2.5,1
2.42,1,46.3,10.17,2,1
2.42,2,97,34.4764,3,1
2.42,3,12.8525,53.7,1.5,1
2.42,4,56.12,88.6075,2.5,1
2.43,1,46.45,10.08,2,1
2.43,2,96.8635,34.5495,3,1
2.43,3,12.77,53.55,1.5,1
2.43,4,55.98,88.69,2.5,1
2.44,1,46.6,9.99,2,1
2.44,2,96.7271,34.6226,3,1
2.44,3,12.6875,53.4,1.5,1
2.44,4,55.84,88.7725,2.5,1
2.45,1,46.75,9.9,2,1
2.45,2,96.5906,34.6957,3,1
2.45,3,12.605,53.25,1.5,1
2.45,4,55.7,88.855,2.5,1
2.46,1,46.9,9.81,2,1
2.46,2,96.4542,34.7688,3,1
2.46,3,12.5225,53.1,1.5,1
2.46,4,55.56,88.9375,2.5,1
2.47,1,47.05,9.72,2,1
2.47,2,96.3177,34.8418,3,1
2.47,3,12.44,52.95,1.5,1
2.47,4,55.42,89.02,2.5,1
2.48,1,47.2,9.63,2,1
2.48,2,96.1812,34.9149,3,1
2.48,3,12.3575,52.8,1.5,1
2.48,4,55.28,89.1025,2.5,1
2.49,1,47.35,9.54,2,1
2.49,2,96.0448,34.988,3,1
2.49,3,12.275,52.65,1.5,1
2.49,4,55.14,89.185,2.5,1
2.5,1,47.5,9.45,2,1
2.5,2,95.9083,35.0611,3,1
2.5,3,12.1925,52.5,1.5,1
2.5,4,55,89.2675,2.5,1
2.51,1,47.65,9.36,2,1
2.51,2,95.7719,35.1342,3,1
2.51,3,12.11,52.35,1.5,1
2.51,4,54.86,89.35,2.5,1
2.52,1,47.8,9.27,2,1
2.52,2,95.6354,35.2073,3,1
2.52,3,12.0275,52.2,1.5,1
2.52,4,54.72,89.4325,2.5,1
2.53,1,47.95,9.18,2,1
2.53,2,95.4989,35.2804,3,1
2.53,3,11.945,52.05,1.5,1
2.53,4,54.58,89.515,2.5,1
2.54,1,48.1,9.09,2,1
2.54,2,95.3625,35.3535,3,1
2.54,3,11.8625,51.9,1.5,1
2.54,4,54.44,89.5975,2.5,1
2.55,1,48.25,9,2,1
2.55,2,95.226,35.4266,3,1
2.55,3,11.78,51.75,1.5,1
2.55,4,54.3,89.68,2.5,1
2.56,1,48.4,8.91,2,1
2.56,2,95.0896,35.4997,3,1
2.56,3,11.6975,51.6,1.5,1
2.56,4,54.16,89.7625,2.5,1
2.57,1,48.55,8.82,2,1
2.57,2,94.9531,35.5728,3,1
2.57,3,11.615,51.45,1.5,1
2.57,4,54.02,89.845,2.5,1
2.58,1,48.7,8.73,2,1
2.58,2,94.8166,35.6459,3,1
2.58,3,11.5325,51.3,1.5,1
2.58,4,53.88,89.9275,2.5,1
2.59,1,48.85,8.64,2,1
2.59,2,94.6802,35.719,3,1
2.59,3,11.45,51.15,1.5,1
2.59,4,53.74,90.01,2.5,1
2.6,1,49,8.55,2,1
2.6,2,94.5437,35.7921,3,1
2.6,3,11.3675,51,1.5,1
2.6,4,53.6,90.0925,2.5,1
2.61,1,49.15,8.46,2,1
2.61,2,94.4073,35.8652,3,1
2.61,3,11.285,50.85,1.5,1
2.61,4,53.46,90.175,2.5,1
2.62,1,49.3,8.37,2,1
2.62,2,94.2708,35.9383,3,1
2.62,3,11.2025,50.7,1.5,1
2.62,4,53.32,90.2575,2.5,1
2.63,1,49.45,8.28,2,1
2.63,2,94.1343,36.0114,3,1
2.63,3,11.12,50.55,1.5,1
2.63,4,53.18,90.34,2.5,1
2.64,1,49.6,8.19,2,1
2.64,2,93.9979,36.0845,3,1
2.64,3,11.0375,50.4,1.5,1
2.64,4,53.04,90.4225,2.5,1
2.65,1,49.75,8.1,2,1
2.65,2,93.8614,36.1576,3,1
2.65,3,10.955,50.25,1.5,1
2.65,4,52.9,90.505,2.5,1
2.66,1,49.9,8.01,2,1
2.66,2,93.725,36.2307,3,1
2.66,3,10.8725,50.1,1.5,1
2.66,4,52.76,90.5875,2.5,1
2.67,1,50.05,7.92,2,1
2.67,2,93.5885,36.3038,3,1
2.67,3,10.79,49.95,1.5,1
2.67,4,52.62,90.67,2.5,1
2.68,1,50.2,7.83,2,1
2.68,2,93.452,36.3769,3,1
2.68,3,10.7075,49.8,1.5,1
2.68,4,52.48,90.7525,2.5,1
2.69,1,50.35,7.74,2,1
2.69,2,93.3156,36.45,3,1
2.69,3,10.625,49.65,1.5,1
2.69,4,52.34,90.835,2.5,1
2.7,1,50.5,7.65,2,1
2.7,2,93.1791,36.5231,3,1
2.7,3,10.5425,49.5,1.5,1
2.7,4,52.2,90.9175,2.5,1
2.71,1,50.65,7.56,2,1
2.71,2,93.0427,36.5962,3,1
2.71,3,10.46,49.35,1.5,1
2.71,4,52.06,91,2.5,1
2.72,1,50.8,7.47,2,1
2.72,2,92.9062,36.6693,3,1
2.72,3,10.3775,49.2,1.5,1
2.72,4,51.92,91.0825,2.5,1
2.73,1,50.95,7.38,2,1
2.73,2,92.7697,36.7424,3,1
2.73,3,10.295,49.05,1.5,1
2.73,4,51.78,91.165,2.5,1
2.74,1,51.1,7.29,2,1
2.74,2,92.6333,36.8155,3,1
2.74,3,10.2125,48.9,1.5,1
2.74,4,51.64,91.2475,2.5,1
2.75,1,51.25,7.2,2,1
2.75,2,92.4968,36.8886,3,1
2.75,3,10.13,48.75,1.5,1
2.75,4,51.5,91.33,2.5,1
2.76,1,51.4,7.11,2,1
2.76,2,92.3604,36.9617,3,1
2.76,3,10.0475,48.6,1.5,1
2.76,4,51.36,91.4125,2.5,1
2.77,1,51.55,7.02,2,1
2.77,2,92.2239,37.0348,3,1
2.77,3,9.965,48.45,1.5,1
2.77,4,51.22,91.495,2.5,1
2.78,1,51.7,6.93,2,1
2.78,2,92.0874,37.1079,3,1
2.78,3,9.8825,48.3,1.5,1
2.78,4,51.08,91.5775,2.5,1
2.79,1,51.85,6.84,2,1
2.79,2,91.951,37.181,3,1
2.79,3,9.8,48.15,1.5,1
2.79,4,50.94,91.66,2.5,1
2.8,1,52,6.75,2,1
2.8,2,91.8145,37.2541,3,1
2.8,3,9.7175,48,1.5,1
2.8,4,50.8,91.7425,2.5,1
2.81,1,52.15,6.66,2,1
2.81,2,91.6781,37.3272,3,1
2.81,3,9.635,47.85,1.5,1
2.81,4,50.66,91.825,2.5,1
2.82,1,52.3,6.57,2,1
2.82,2,91.5416,37.4003,3,1
2.82,3,9.5525,47.7,1.5,1
2.82,4,50.52,91.9075,2.5,1
2.83,1,52.45,6.48,2,1
2.83,2,91.4051,37.4734,3,1
2.83,3,9.47,47.55,1.5,1
2.83,4,50.38,91.99,2.5,1
2.84,1,52.6,6.39,2,1
2.84,2,91.2687,37.5465,3,1
2.84,3,9.3875,47.4,1.5,1
2.84,4,50.24,92.0725,2.5,1
2.85,1,52.75,6.3,2,1
2.85,2,91.1322,37.6195,3,1
2.85,3,9.305,47.25,1.5,1
2.85,4,50.1,92.155,2.5,1
2.86,1,52.9,6.21,2,1
2.86,2,90.9958,37.6926,3,1
2.86,3,9.2225,47.1,1.5,1
2.86,4,49.96,92.2375,2.5,1
2.87,1,53.05,6.12,2,1
2.87,2,90.8593,37.7657,3,1
2.87,3,9.14,46.95,1.5,1
2.87,4,49.82,92.32,2.5,1
2.88,1,53.2,6.03,2,1
2.88,2,90.7228,37.8388,3,1
2.88,3,9.0575,46.8,1.5,1
2.88,4,49.68,92.4025,2.5,1
2.89,1,53.35,5.94,2,1
2.89,2,90.5864,37.9119,3,1
2.89,3,8.975,46.65,1.5,1
2.89,4,49.54,92.485,2.5,1
2.9,1,53.5,5.85,2,1
2.9,2,90.4499,37.985,3,1
2.9,3,8.8925,46.5,1.5,1
2.9,4,49.4,92.5675,2.5,1
2.91,1,53.65,5.76,2,1
2.91,2,90.3135,38.0581,3,1
2.91,3,8.81,46.35,1.5,1
2.91,4,49.26,92.65,2.5,1
2.92,1,53.8,5.67,2,1
2.92,2,90.177,38.1312,3,1
2.92,3,8.7275,46.2,1.5,1
2.92,4,49.12,92.7325,2.5,1
2.93,1,53.95,5.58,2,1
2.93,2,90.0405,38.2043,3,1
2.93,3,8.645,46.05,1.5,1
2.93,4,48.98,92.815,2.5,1
2.94,1,54.1,5.49,2,1
2.94,2,89.9041,38.2774,3,1
2.94,3,8.5625,45.9,1.5,1
2.94,4,48.84,92.8975,2.5,1
2.95,1,54.25,5.4,2,1
2.95,2,89.7676,38.3505,3,1
2.95,3,8.48,45.75,1.5,1
2.95,4,48.7,92.98,2.5,1
2.96,1,54.4,5.31,2,1
2.96,2,89.6312,38.4236,3,1
2.96,3,8.3975,45.6,1.5,1
2.96,4,48.56,93.0625,2.5,1
2.97,1,54.55,5.22,2,1
2.97,2,89.4947,38.4967,3,1
2.97,3,8.315,45.45,1.5,1
2.97,4,48.42,93.145,2.5,1
2.98,1,54.7,5.13,2,1
2.98,2,89.3582,38.5698,3,1
2.98,3,8.2325,45.3,1.5,1
2.98,4,48.28,93.2275,2.5,1
2.99,1,54.85,5.04,2,1
2.99,2,89.2218,38.6429,3,1
2.99,3,8.15,45.15,1.5,1
2.99,4,48.14,93.31,2.5,1
3,1,55,4.95,2,1
3,2,89.0853,38.716,3,1
3,3,8.0675,45,1.5,1
3,4,48,93.3925,2.5,1
3.01,1,55.15,4.86,2,1
3.01,2,88.9488,38.7891,3,1
3.01,3,7.985,44.85,1.5,1
3.01,4,47.86,93.475,2.5,1
3.02,1,55.3,4.77,2,1
3.02,2,88.8124,38.8622,3,1
3.02,3,7.9025,44.7,1.5,1
3.02,4,47.72,93.5575,2.5,1
3.03,1,55.45,4.68,2,1
3.03,2,88.6759,38.9353,3,1
3.03,3,7.82,44.55,1.5,1
3.03,4,47.58,93.64,2.5,1
3.04,1,55.6,4.59,2,1
3.04,2,88.5395,39.0084,3,1
3.04,3,7.7375,44.4,1.5,1
3.04,4,47.44,93.7225,2.5,1
3.05,1,55.75,4.5,2,1
3.05,2,88.403,39.0815,3,1
3.05,3,7.655,44.25,1.5,1
3.05,4,47.3,93.805,2.5,1
3.06,1,55.9,4.41,2,1
3.06,2,88.2665,39.1546,3,1
3.06,3,7.5725,44.1,1.5,1
3.06,4,47.16,93.8875,2.5,1
3.07,1,56.05,4.32,2,1
3.07,2,88.1301,39.2277,3,1
3.07,3,7.49,43.95,1.5,1
3.07,4,47.02,93.97,2.5,1
3.08,1,56.2,4.23,2,1
3.08,2,87.9936,39.3008,3,1
3.08,3,7.4075,43.8,1.5,1
3.08,4,46.88,94.0525,2.5,1
3.09,1,56.35,4.14,2,1
3.09,2,87.8572,39.3739,3,1
3.09,3,7.325,43.65,1.5,1
3.09,4,46.74,94.135,2.5,1
3.1,1,56.5,4.05,2,1
3.1,2,87.7207,39.447,3,1
3.1,3,7.2425,43.5,1.5,1
3.1,4,46.6,94.2175,2.5,1
3.11,1,56.65,3.96,2,1
3.11,2,87.5842,39.5201,3,1
3.11,3,7.16,43.35,1.5,1
3.11,4,46.46,94.3,2.5,1
3.12,1,56.8,3.87,2,1
3.12,2,87.4478,39.5932,3,1
3.12,3,7.0775,43.2,1.5,1
3.12,4,46.32,94.3825,2.5,1
3.13,1,56.95,3.78,2,1
3.13,2,87.3113,39.6663,3,1
3.13,3,6.995,43.05,1.5,1
3.13,4,46.18,94.465,2.5,1
3.14,1,57.1,3.69,2,1
3.14,2,87.1749,39.7394,3,1
3.14,3,6.9125,42.9,1.5,1
3.14,4,46.04,94.5475,2.5,1
3.15,1,57.25,3.6,2,1
3.15,2,87.0384,39.8125,3,1
3.15,3,6.83,42.75,1.5,1
3.15,4,45.9,94.63,2.5,1
3.16,1,57.4,3.51,2,1
3.16,2,86.9019,39.8856,3,1
3.16,3,6.7475,42.6,1.5,1
3.16,4,45.76,94.7125,2.5,1
3.17,1,57.55,3.42,2,1
3.17,2,86.7655,39.9587,3,1
3.17,3,6.665,42.45,1.5,1
3.17,4,45.62,94.795,2.5,1
3.18,1,57.7,3.33,2,1
3.18,2,86.629,40.0318,3,1
3.18,3,6.5825,42.3,1.5,1
3.18,4,45.48,94.8775,2.5,1
3.19,1,57.85,3.24,2,1
3.19,2,86.4926,40.1049,3,1
3.19,3,6.5,42.15,1.5,1
3.19,4,45.34,94.96,2.5,1
3.2,1,58,3.15,2,1
3.2,2,86.3561,40.178,3,1
3.2,3,6.4175,42,1.5,1
3.2,4,45.2,95.0425,2.5,1
3.21,1,58.15,3.06,2,1
3.21,2,86.2196,40.2511,3,1
3.21,3,6.335,41.85,1.5,1
3.21,4,45.06,95.125,2.5,1
3.22,1,58.3,2.97,2,1
3.22,2,86.0832,40.3242,3,1
3.22,3,6.2525,41.7,1.5,1
3.22,4,44.92,95.2075,2.5,1
3.23,1,58.45,2.88,2,1
3.23,2,85.9467,40.3972,3,1
3.23,3,6.17,41.55,1.5,1
3.23,4,44.78,95.29,2.5,1
3.24,1,58.6,2.79,2,1
3.24,2,85.8103,40.4703,3,1
3.24,3,6.0875,41.4,1.5,1
3.24,4,44.64,95.3725,2.5,1
3.25,1,58.75,2.7,2,1
3.25,2,85.6738,40.5434,3,1
3.25,3,6.005,41.25,1.5,1
3.25,4,44.5,95.455,2.5,1
3.26,1,58.9,2.61,2,1
3.26,2,85.5373,40.6165,3,1
3.26,3,5.9225,41.1,1.5,1
3.26,4,44.36,95.5375,2.5,1
3.27,1,59.05,2.52,2,1
3.27,2,85.4009,40.6896,3,1
3.27,3,5.84,40.95,1.5,1
3.27,4,44.22,95.62,2.5,1
3.28,1,59.2,2.5,2,1
3.28,2,85.2644,40.7627,3,1
3.28,3,5.7575,40.8,1.5,1
3.28,4,44.08,95.7025,2.5,1
3.29,1,59.35,2.59,2,1
3.29,2,85.128,40.8358,3,1
3.29,3,5.675,40.65,1.5,1
3.29,4,43.94,95.785,2.5,1
3.3,1,59.5,2.68,2,1
3.3,2,84.9915,40.9089,3,1
3.3,3,5.5925,40.5,1.5,1
3.3,4,43.8,95.8675,2.5,1
3.31,1,59.65,2.77,2,1
3.31,2,84.855,40.982,3,1
3.31,3,5.51,40.35,1.5,1
3.31,4,43.66,95.95,2.5,1
3.32,1,59.8,2.86,2,1
3.32,2,84.7186,41.0551,3,1
3.32,3,5.4275,40.2,1.5,1
3.32,4,43.52,96.0325,2.5,1
3.33,1,59.95,2.95,2,1
3.33,2,84.5821,41.1282,3,1
3.33,3,5.345,40.05,1.5,1
3.33,4,43.38,96.115,2.5,1
3.34,1,60.1,3.04,2,1
3.34,2,84.4457,41.2013,3,1
3.34,3,5.2625,39.9,1.5,1
3.34,4,43.24,96.1975,2.5,1
3.35,1,60.25,3.13,2,1
3.35,2,84.3092,41.2744,3,1
3.35,3,5.18,39.75,1.5,1
3.35,4,43.1,96.28,2.5,1
3.36,1,60.4,3.22,2,1
3.36,2,84.1727,41.3475,3,1
3.36,3,5.0975,39.6,1.5,1
3.36,4,42.96,96.3625,2.5,1
3.37,1,60.55,3.31,2,1
3.37,2,84.0363,41.4206,3,1
3.37,3,5.015,39.45,1.5,1
3.37,4,42.82,96.445,2.5,1
3.38,1,60.7,3.4,2,1
3.38,2,83.8998,41.4937,3,1
3.38,3,4.9325,39.3,1.5,1
3.38,4,42.68,96.5275,2.5,1
3.39,1,60.85,3.49,2,1
3.39,2,83.7634,41.5668,3,1
3.39,3,4.85,39.15,1.5,1
3.39,4,42.54,96.61,2.5,1
3.4,1,61,3.58,2,1
3.4,2,83.6269,41.6399,3,1
3.4,3,4.7675,39,1.5,1
3.4,4,42.4,96.6925,2.5,1
3.41,1,61.15,3.67,2,1
3.41,2,83.4904,41.713,3,1
3.41,3,4.685,38.85,1.5,1
3.41,4,42.26,96.775,2.5,1
3.42,1,61.3,3.76,2,1
3.42,2,83.354,41.7861,3,1
3.42,3,4.6025,38.7,1.5,1
3.42,4,42.12,96.8575,2.5,1
3.43,1,61.45,3.85,2,1
3.43,2,83.2175,41.8592,3,1
3.43,3,4.52,38.55,1.5,1
3.43,4,41.98,96.94,2.5,1
3.44,1,61.6,3.94,2,1
3.44,2,83.0811,41.9323,3,1
3.44,3,4.4375,38.4,1.5,1
3.44,4,41.84,97.0225,2.5,1
3.45,1,61.75,4.03,2,1
3.45,2,82.9446,42.0054,3,1
3.45,3,4.355,38.25,1.5,1
3.45,4,41.7,97.105,2.5,1
3.46,1,61.9,4.12,2,1
3.46,2,82.8081,42.0785,3,1
3.46,3,4.2725,38.1,1.5,1
3.46,4,41.56,97.1875,2.5,1
3.47,1,62.05,4.21,2,1
3.47,2,82.6717,42.1516,3,1
3.47,3,4.19,37.95,1.5,1
3.47,4,41.42,97.2,2.5,1
3.48,1,62.2,4.3,2,1
3.48,2,82.5352,42.2247,3,1
3.48,3,4.1075,37.8,1.5,1
3.48,4,41.28,97.1175,2.5,1
3.49,1,62.35,4.39,2,1
3.49,2,82.3988,42.2978,3,1
3.49,3,4.025,37.65,1.5,1
3.49,4,41.14,97.035,2.5,1
3.5,1,62.5,4.48,2,1
3.5,2,82.2623,42.3709,3,1
3.5,3,3.9425,37.5,1.5,1
3.5,4,41,96.9525,2.5,1
3.51,1,62.65,4.57,2,1
3.51,2,82.1258,42.444,3,1
3.51,3,3.86,37.35,1.5,1
3.51,4,40.86,96.87,2.5,1
3.52,1,62.8,4.66,2,1
3.52,2,81.9894,42.5171,3,1
3.52,3,3.7775,37.2,1.5,1
3.52,4,40.72,96.7875,2.5,1
3.53,1,62.95,4.75,2,1
3.53,2,81.8529,42.5902,3,1
3.53,3,3.695,37.05,1.5,1
3.53,4,40.58,96.705,2.5,1
3.54,1,63.1,4.84,2,1
3.54,2,81.7165,42.6633,3,1
3.54,3,3.6125,36.9,1.5,1
3.54,4,40.44,96.6225,2.5,1
3.55,1,63.25,4.93,2,1
3.55,2,81.58,42.7364,3,1
3.55,3,3.53,36.75,1.5,1
3.55,4,40.3,96.54,2.5,1
3.56,1,63.4,5.02,2,1
3.56,2,81.4435,42.8095,3,1
3.56,3,3.4475,36.6,1.5,1
3.56,4,40.16,96.4575,2.5,1
3.57,1,63.55,5.11,2,1
3.57,2,81.3071,42.8826,3,1
3.57,3,3.365,36.45,1.5,1
3.57,4,40.02,96.375,2.5,1
3.58,1,63.7,5.2,2,1
3.58,2,81.1706,42.9557,3,1
3.58,3,3.2825,36.3,1.5,1
